p_value,geodesic_worst_distance,resistance_worst_distance,guf_worst_distance
1,0.06460538855829194,0.06460538855829194,0.06441078092789411
2,0.051509463031108184,0.05583315247239936,0.05127082028955019
3,0.03957817823816814,0.039486510711694414,0.03959614874900734
4,0.0341665313555615,0.039486510711694414,0.033982511994610935
5,0.033982511994610935,0.0343372237379661,0.03403346978540815
6,0.033982511994610935,0.0343372237379661,0.03403346978540815
7,0.033982511994610935,0.033982511994610935,0.03403346978540815
8,0.0304882558895997,0.033982511994610935,0.028700134923791407
9,0.033982511994610935,0.033982511994610935,0.03403346978540815
